County,Subcounty,PCN,pcn_location,supporting_partner,establishment_status,Proportion of functional Community Health Committees  in the PCN,Proportion of Health facilities that have received supportive supervision in the PCN,Functional PCN Management committee,Functionallity of MDTs ,Governance Score,Governance Weighted Score,POPULATION HEALTH NEEDS ,Number of population profiling assessments conducted,Proportion of population health needs that have been addressed ,Number of wellness activities conducted within the PCN ,Population Needs Score,Population Needs Weighted Score,CAPACITY READINESS ,1.HPTS ,Proportion  of  facilities in the PCN that had all 22  tracer pharmaceuticals  at the time of assessment ,Proportion of facilities in the PCN that have all 23 tracer non-pharmaceuticals at the time of assessment ,Availability of the whole blood and blood components in the hospitals ,Percentage of Health facilities with stock out on any of the 22 tracer pharmaceuticals for 7 consecutive days in a month*,Percentage of Health facilities with stock out on any of the 22 tracer non-pharmaceuticals for 7 consecutive days in a month*,Proportion of hospitals with comprehensive lab services within the PCN,Proportion of spokes with basic lab services within the PCN,2.EQUIPMENT,Proportion of Facilities within the PCN with all basic  tracer equipment available and functional **List provided below the  template,Capacity Readiness Score,Capacity Readiness Weighted Score,HEALTH CARE FINANCING ,Proportion of clients accessing Health Services using SHIF,Proportion of the target Health Facilities empanneled on SHA within the PCN,Proportion of Health Facilities in the PCN making SHA claims,Proportion of claims reimbursed to HFs within the PCN,Proportion of FIF collected rolled back to the facilities within PCN,Number of people waived for user fees in Hospitals within the PCN,Total amount of user fees  waived in Health care Facilities within the PCN,Healthcare Financing Score,Healthcare Financing Weighted Score,HEALTH INFRASTRUCTURE,Proportion of health facilities with accessible road network,Proportion of  facilities with the appropriate WASH facilities ***,Proportion of  facilities with the tracer list of infrastructure as per KEPH standards,Proportion of facilties with a reliable power source,PCN access to adequate ambulance services,Ambulance request Score,Health infrastructure Score,Health infrastructure Weighted Score,HMIS/ DIGITAL HEALTH,Proprtion of facilties with  reliable internet connection,Proportion of facilities in the PCN with the key OPD reporting tools (6),No of performance and data quality review meetings held quarterly within the PCN,Proportion of facilities with ICT infrastructure ,Proportion of facilities in a PCN with an integrated functional EMR,Proportion of CHUs within the PCN reporting monthly,HMIS Score,HMIS Weighted Score,HRH ,Core HRH density,Doctor to population ratio,Clinical officer to  population ratio,Nurse to population ratio,CHA/CHO  to population ratio,Proportion of CHPs trained on basic modules,Health care workers sensitized on PHC /PCN ,Does the PCN have a mechanism to enhance health workers skills?,Proportion of health workers who have undergone a skills/ competency buliding course within the last 2 years,HRH Score,HRH Weighted Score,SERVICE DELIVERY,SERVICE DELIVERY PROCESSES ,Number of outreaches conducted  by the MDT,Number of in-reaches conducted within the PCN,Service Delivery Score ,Service Delivery Weighted Score ,QUALITY OF CARE -MANAGEMENT SYSTEMS ,Proportion of hospitals with functional facility quality improvement teams (QIT),Proportion of spokes with functional facility work improvement teams (WIT),Average availability of selected IPC items  *(items defined below),QoC Management Systems Score,QUALITY OF CARE -PHC CORE SYSTEMS,Adherence to clinical guidelines for Primary health care facilities,Provider Availability (absenteeism) for Primary health care facilities,QoC PHC Core Systems Score,QUALITY OF CARE OUTCOMES ,Proportion of facilities conducting MPDSR,"Fresh Stillbirth rate per 1,000 births in health facilities","Number of maternal deaths reported in Health facilities per 100,000 live births",Proportion of maternal deaths Audited,"Number of neonatal deaths per 1,000 live births",Proportion of neonatal deaths audited ,TB Treatment Success Rate,QoC Outcomes Score,QoC Outcomes Weighted Score,SOCIAL ACCOUNTABILITY,Proportion of facilities which have conducted a client satisfaction survey,No. of MDT engagements with the community ,No. of health facilities with functional GRMs ,Social Accountability Score,Social Accountability Weighted Score,MULTISECTORAL PARTNERSHIPS AND COORDINATION,Proportion of multi-sectoral actions implemented,Number of inter- PCN peer to peer learning sessions held ,Multisectoral Partnerships and Coordination Score,Multisectoral Partnerships and Coordination Weighted Score,INNOVATIONS AND LEARNING ,Number of PHC related innovations/ best practice implemented/adapted,Innovations and Learning Score,Innovations and Learning Weighted Score,Total PCN Score (Total Weighted Score)
Nairobi,Ruaraka,Ruaraka PCN,"-1.249,36.882",Fahari Ya Jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Starehe,Starehe PCN,"-1.2864,36.8172",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nairobi,Westlands,Westlands PCN,"-1.267,36.804",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakuru,Bahati (Nakuru North),Bahati (Nakuru North) PCN,"-0.284,36.112",Tujenge jamii (USAID) & ThinkWell,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakuru,Naivasha ,Naivasha  PCN,"-0.717,36.431",Tujenge jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakuru,Gilgil,Gilgil PCN,"-0.498,36.317",Tujenge jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakuru,Kuresoi North,Kuresoi North PCN,"-0.047,35.714",Tujenge jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakuru,Kuresoi South,Kuresoi South PCN,"-0.287,35.602",Tujenge jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakuru,Molo,Molo PCN,"-0.249,35.734",Tujenge jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakuru,Nakuru Town East ,Nakuru Town East  PCN,"-0.3031,36.08",Tujenge jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakuru,Nakuru Town West,Nakuru Town West PCN,"-0.3031,36.08",Tujenge jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakuru,Rongai,Rongai PCN,"-0.173,35.863",Tujenge jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakuru,Njoro,Njoro PCN,"-0.331,35.943",Tujenge jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakuru,Subukia,Subukia PCN,"-0.014,36.238",Tujenge jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandi,Aldai,Aldai PCN,"0.155,35.103",GoK,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandi,Chesumei,Chesumei PCN,"0.203,35.1",GoK,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandi,Emgwen,Emgwen PCN,"0.203,35.1",GoK,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandi,Mosop,Mosop PCN,"0.35,35.34",County,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandi,Nandi Hills,Nandi Hills PCN,"0.103,35.184",County,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandi,Tinderet,Tinderet PCN,"0.098,35.442",GoK,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narok ,Narok East ,Narok East  PCN,"-1.08,35.87",AMREF (UNFPA & CDC) ,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narok ,Narok North,Narok North PCN,"-1.08,35.87",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narok ,Narok South,Narok South PCN,"-1.001,35.432",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narok ,Narok West,Narok West PCN,"-1.001,35.432",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narok ,Transmara East,Transmara East PCN,"-1.001,35.432",No Supporting Partner,awaiting_partner_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narok ,Transmara West,Transmara West PCN,"-1.109,35.547",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyamira,Masaba North,Masaba North PCN,"-0.563,34.934",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyamira,Manga,Manga PCN,"-0.708,34.935",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyamira,Nyamira North,Nyamira North PCN,"-0.563,34.934",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyamira,Nyamira South,Nyamira South PCN,"-0.563,34.934",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyamira,Borabu,Borabu PCN,"-0.801,34.723",AMREF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyandarua,Ndaragwa,Ndaragwa PCN,"-0.069,36.634",AMREF,gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyandarua,Kinangop,Kinangop PCN,"-0.728,36.632",AMREF,gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyandarua,Ol joro Orok,Ol joro Orok PCN,"-0.138,36.368",AMREF,gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyandarua,Ol Kalou,Ol Kalou PCN,"-0.27,36.379",AMREF,gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyandarua,Kipipiri,Kipipiri PCN,"-0.524,36.48",AMREF,gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyeri,Kieni East,Kieni East PCN,"-0.486,37.122",LVCT (CDC)  ,gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyeri,Kieni West,Kieni West PCN,"-0.697,36.944",LVCT (CDC)  ,gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyeri,Mathira East,Mathira East PCN,"-0.486,37.122",LVCT (CDC)  ,gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyeri,Mathira West,Mathira West PCN,"-0.486,37.122",LVCT (CDC)  ,gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyeri,Nyeri South/Othaya,Nyeri South/Othaya PCN,"-0.547,36.931",AMREF (J&J Elma),gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyeri,Tetu,Tetu PCN,"-0.422,36.954",AMREF (J&J Elma),gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samburu,Samburu East ,Samburu East PCN1,"0.583,37.007",UNICEF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samburu,Samburu East ,Samburu East PCN2,"0.583,37.537",UNICEF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samburu,Samburu North,Samburu North PCN,"1.784,36.789",UNICEF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samburu,Samburu Central,Samburu Central PCN,"1.1,36.698",UNICEF,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siaya,Alego Usonga,Alego Usonga PCN,"-0.0617,34.2888",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siaya,Bondo,Bondo PCN,"0.236,34.281",Medtronics Lab & CHS,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siaya,Gem,Gem PCN,"0.097,34.537",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siaya,Rarieda,Rarieda PCN,"0.094,34.389",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siaya,Ugunja,Ugunja PCN,"0.182,34.363",RMNCAH Project,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siaya,Ugenya,Ugenya PCN,"0.097,34.537",Medtronics Lab & CHS,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taita Taveta ,Taveta,Taveta PCN,"-3.398,37.678",USAID Stawisha Pwani,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taita Taveta ,Wundanyi,Wundanyi PCN,"-3.397,38.359",USAID Stawisha Pwani,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taita Taveta ,Voi,Voi PCN,"-3.396,38.556",USAID Stawisha Pwani,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taita Taveta ,Mwatate,Mwatate PCN,"-3.509,38.377",USAID Stawisha Pwani,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tana River,Bura,Bura PCN,"-1.188,39.95",Kenya Red Cross Society,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tana River,Galole,Galole PCN,"-2.268,40.107",Kenya Red Cross Society,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tana River,Garsen,Garsen PCN,"-2.268,40.107",Kenya Red Cross Society,pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tharaka Nithi,Mwimbi,Mwimbi PCN,"-0.226,37.669",AMREF (Uwazi wa Afya Thabiti),gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tharaka Nithi,Tharaka South,Tharaka South PCN,"-0.24,37.869",AMREF (Uwazi wa Afya Thabiti),gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tharaka Nithi,Chuka,Chuka PCN,"-0.333,37.65",AMREF (Uongozi Wa Afya Thabiti),gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tharaka Nithi,Tharaka North ,Tharaka North  PCN,"-0.145,37.815",AMREF (Uongozi Wa Afya Thabiti),gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tharaka Nithi,Muthambi,Muthambi PCN,"-0.226,37.669",AMREF (Uongozi Wa Afya Thabiti),gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tharaka Nithi,Igambang'ombe,Igambang'ombe PCN,"-0.333,37.65",AMREF (Uongozi Wa Afya Thabiti),gazettement_ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans Nzoia,Kiminini,Kiminini PCN,"0.932,34.915",AMPATH,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans Nzoia,Cherangany,Cherangany PCN,"1.04,35.02",AMPATH,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans Nzoia,Saboti,Saboti PCN,"1.018,34.983",AMPATH,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans Nzoia,Kwanza,Kwanza PCN,"1.183,35.02",AMPATH,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trans Nzoia,Endebess,Endebess PCN,"1.255,34.773",AMPATH,gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkana,Loima,Loima PCN,"2.59,35.72",Imarisha Jamii (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkana,Turkana central,Turkana central PCN,"3.119,35.597",AMREF (UNFPA),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkana,Turkana North,Turkana North PCN,"4.34,34.29",AMREF (UNFPA),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkana,Kibish,Kibish PCN,"4.98,35.77",AMREF (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkana,Turkana West,Turkana West PCN,"3.493,35.844",AMREF (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkana,Lokichogio,Lokichogio PCN,"4.204,34.348",AMREF (USAID),pending_gazettement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
